CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;1.0760470058827598
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.0
INFLOW;SURFACE WATER;Main riverstem;0.1677697615999999
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;-0.016240939330397747
ERROR;ERROR;0;
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET RAIN;Natural;0.0056308605075007494
OUTFLOW;ET RAIN;Urban;0.22314529242361092
OUTFLOW;ET RAIN;Agri;0.1659999481180044
OUTFLOW;ET INCREMENTAL;Natural;0.01279829358881441
OUTFLOW;ET INCREMENTAL;Urban;0.2508238309701657
OUTFLOW;ET INCREMENTAL;Agri;0.3020024857142633
OUTFLOW;ET INCREMENTAL;Manmade;0.3020025842622302
OUTFLOW;ET INCREMENTAL;Consumed Water;0.0985479668299998
OUTFLOW;SURFACE WATER;Surface wateroutflow;0.16862715
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0.0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;OTHER;Treated Waste Water;0.1288050179959999
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
