CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;1169.014151065544
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.0
INFLOW;SURFACE WATER;Main riverstem;39.1667265
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;-36.22526767319602
ERROR;ERROR;0;
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET RAIN;Natural;568.1826595359435
OUTFLOW;ET RAIN;Urban;7.979844719706454
OUTFLOW;ET RAIN;Agri;184.1059669291133
OUTFLOW;ET INCREMENTAL;Natural;104.35118157033813
OUTFLOW;ET INCREMENTAL;Urban;7.883879774241382
OUTFLOW;ET INCREMENTAL;Agri;217.57113530700536
OUTFLOW;ET INCREMENTAL;Manmade;217.61591443711032
OUTFLOW;ET INCREMENTAL;Consumed Water;44.779130105
OUTFLOW;SURFACE WATER;Surface wateroutflow;37.10181195100001
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0.0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;OTHER;Treated Waste Water;1.6913718005999998
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
