CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;1563.1616799346398
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.0
INFLOW;SURFACE WATER;Main riverstem;34.865273337000005
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;-152.89330125011844
ERROR;ERROR;0;
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET RAIN;Natural;680.6317667412216
OUTFLOW;ET RAIN;Urban;9.464314803994952
OUTFLOW;ET RAIN;Agri;244.89740949836417
OUTFLOW;ET INCREMENTAL;Natural;156.6136651967759
OUTFLOW;ET INCREMENTAL;Urban;9.676033995499575
OUTFLOW;ET INCREMENTAL;Agri;261.0638461686653
OUTFLOW;ET INCREMENTAL;Manmade;261.1054323637723
OUTFLOW;ET INCREMENTAL;Consumed Water;41.586195107
OUTFLOW;SURFACE WATER;Surface wateroutflow;41.20042051
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0.0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;OTHER;Treated Waste Water;1.6953205407000003
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
