CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;1283.4456646969973
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.0
INFLOW;SURFACE WATER;Main riverstem;36.33761092300001
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;-164.17007491401094
ERROR;ERROR;0;
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET RAIN;Natural;570.9395105206804
OUTFLOW;ET RAIN;Urban;7.653421010146263
OUTFLOW;ET RAIN;Agri;175.62163633255113
OUTFLOW;ET INCREMENTAL;Natural;95.35529167111872
OUTFLOW;ET INCREMENTAL;Urban;8.445727325146452
OUTFLOW;ET INCREMENTAL;Agri;213.63441670034354
OUTFLOW;ET INCREMENTAL;Manmade;213.6799833276585
OUTFLOW;ET INCREMENTAL;Consumed Water;45.566627315
OUTFLOW;SURFACE WATER;Surface wateroutflow;38.39656983100001
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0.0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;OTHER;Treated Waste Water;0.8753029264699999
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
