CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;1539.2236961953681
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.0
INFLOW;SURFACE WATER;Main riverstem;33.498407079
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;-236.3919814364376
ERROR;ERROR;0;
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET RAIN;Natural;671.9002412494915
OUTFLOW;ET RAIN;Urban;9.222092881978611
OUTFLOW;ET RAIN;Agri;199.829268152323
OUTFLOW;ET INCREMENTAL;Natural;119.03897614497306
OUTFLOW;ET INCREMENTAL;Urban;9.413436871238407
OUTFLOW;ET INCREMENTAL;Agri;235.91690819992587
OUTFLOW;ET INCREMENTAL;Manmade;235.9690367522889
OUTFLOW;ET INCREMENTAL;Consumed Water;52.12855236300001
OUTFLOW;SURFACE WATER;Surface wateroutflow;38.880645975
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0.0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;OTHER;Treated Waste Water;1.8074502578999998
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
